Mission,Segment,Stage (1-25),Objective,Henceforth Set Maximum/Target Active Road Traffic Vehicles
L1 M0,Sunday Drive,1,(Talk to Marge),2
L1 M0,Mission,3,(Enter Kwik-E-Mart),2
L1 M1,Sunday Drive,1,(Drive to Simpson household),2
L1 M1,Mission,2,(Trigger race),2
L1 M1,Mission,4,(Enter School),2
L1 M1,Mission,5,(Talk to Lisa),2
L1 M2,Sunday Drive,1,(Drive to Simpson household),2
L1 M3,Sunday Drive,1,(Drive to Simpson household),2
L1 M3,Sunday Drive,2,(Enter Simpson household),2
L1 M4,Sunday Drive,1,(Drive to Power Plant),2
L1 M5,Sunday Drive,1,(Drive to Simpson household),2
L1 M6,Sunday Drive,1,(Drive to Grocery Store),2
L1 M7,Sunday Drive,1,(Drive to Power Plant),2
L1 M7,Mission,1,(Race against Smithers),2
L1 M7,Mission,2,(Talk to Burns),2
L1 R1,Mission,1,(Time Trial),DISABLED
L1 R2,Mission,1,(Circuit Race),DISABLED
L1 R3,Mission,1,(Checkpoint Race),DISABLED
L1 G1,Mission,2,(Wager Race),2
L1 D1,Mission,1,(Demo Race),4
L2 M1,Sunday Drive,1,(Talk to Milhouse),5
L2 M1,Mission,2,(Trigger escape),2
L2 M1,Mission,5,(Talk to Jimbo),5
L2 M2,Sunday Drive,1,(Drive to Herman),4
L2 M2,Mission,2,(Drive to Moe),2
L2 M2,Mission,11,(Drive to Town Hall),2
L2 M2,Mission,16,(Drive to Police Station),3
L2 M2,Mission,21,(Escape Wiggum),2
L2 M3,Sunday Drive,1,(Drive to Googleplex),4
L2 M3,Mission,1,(Race against Nerd),3
L2 M4,Sunday Drive,1,(Drive to Stadium),4
L2 M4,Mission,1,(Follow Pizza Van),2
L2 M4,Mission,4,(Find Snake),5
L2 M4,Mission,7,(Race against Snake),3
L2 M5,Sunday Drive,1,(Drive to Krusty Burger),4
L2 M5,Mission,1,(Collect flatmeat),4
L2 M6,Sunday Drive,1,(Drive to Stadium),4
L2 M6,Mission,3,(Collect monkeys),4
L2 M7,Sunday Drive,1,(Drive to Stadium),4
L2 M7,Mission,2,(Destroy Cell Phone Car A 1),2
L2 M7,Mission,3,(Destroy Cell Phone Car A 2),3
L2 M7,Mission,4,(Destroy Cell Phone Car A 3),4
L2 M7,Mission,5,(Destroy Cell Phone Car A 4),5
L2 M7,Mission,6,(Drive to Stadium),5
L2 B1,Mission,1,(Collect blood bag 1),5
L2 B1,Mission,8,(Drive to Krusty Burger),5
L2 R1,Mission,1,(Time Trial),DISABLED
L2 R2,Mission,1,(Circuit Race),DISABLED
